record_date,transaction_type,transaction_today_amt
2025-02-25,Withdrawals,329898
2025-02-26,Deposits,20474
2025-02-26,Withdrawals,75638
2025-02-27,Deposits,239182
2025-02-27,Withdrawals,270440
2025-02-28,Deposits,281283
2025-02-28,Withdrawals,258994
2025-03-03,Deposits,69622
2025-03-03,Withdrawals,62493
2025-03-04,Deposits,233478
2025-03-04,Withdrawals,267433
2025-03-05,Deposits,22498
2025-03-05,Withdrawals,32429
2025-03-06,Deposits,267250
2025-03-06,Withdrawals,260581
2025-03-07,Deposits,17194
2025-03-07,Withdrawals,25217
2025-03-10,Deposits,42688
2025-03-10,Withdrawals,21565
2025-03-11,Deposits,227292
2025-03-11,Withdrawals,268986
2025-03-12,Deposits,21612
2025-03-12,Withdrawals,71800
2025-03-13,Deposits,227985
2025-03-13,Withdrawals,266278
2025-03-14,Deposits,29818
2025-03-14,Withdrawals,28099
2025-03-17,Deposits,199104
2025-03-17,Withdrawals,82496
2025-03-18,Deposits,225491
2025-03-18,Withdrawals,306083
2025-03-19,Deposits,20341
2025-03-19,Withdrawals,54692
2025-03-20,Deposits,270469
2025-03-20,Withdrawals,303025
2025-03-21,Deposits,15483
2025-03-21,Withdrawals,36785
2025-03-24,Deposits,40713
2025-03-24,Withdrawals,16975
2025-03-25,Deposits,224420
2025-03-25,Withdrawals,259614
2025-03-26,Deposits,19300
2025-03-26,Withdrawals,53828
2025-03-27,Deposits,227069
2025-03-27,Withdrawals,262388
2025-03-28,Deposits,51338
2025-03-28,Withdrawals,30199
2025-03-31,Deposits,262528
2025-03-31,Withdrawals,158527
2025-04-01,Deposits,250276
2025-04-01,Withdrawals,356205
2025-04-02,Deposits,27107
2025-04-02,Withdrawals,25341
2025-04-03,Deposits,288863
2025-04-03,Withdrawals,294120
2025-04-04,Deposits,19612
2025-04-04,Withdrawals,24584
2025-04-07,Deposits,35096
2025-04-07,Withdrawals,16496
2025-04-08,Deposits,288345
2025-04-08,Withdrawals,251700
2025-04-09,Deposits,26365
2025-04-09,Withdrawals,57808
2025-04-10,Deposits,260867
2025-04-10,Withdrawals,261590
2025-04-11,Deposits,50472
2025-04-11,Withdrawals,34438
2025-04-14,Deposits,105439
2025-04-14,Withdrawals,20263
2025-04-15,Deposits,549490
2025-04-15,Withdrawals,364699
2025-04-16,Deposits,89853
2025-04-16,Withdrawals,51527
2025-04-17,Deposits,324751
2025-04-17,Withdrawals,363545
2025-04-18,Deposits,30999
2025-04-18,Withdrawals,18616
2025-04-21,Deposits,43568
2025-04-21,Withdrawals,29511
